title,year,venue,doi,pdf_status,ai_role,control_base,optimized_parameters,objective,sensors,subjects,metrics,semantic_input_type,semantic_output_type,robot_closed_loop,parameter_mapping,implementation_difficulty,quick_paper_fit,relevance_score,why_relevant
Optimization and evaluation of lower limb exoskeleton based on human-exo coupling dynamics,2025,,10.52843/cassyni.ctzs0d,abstract_only,参数优化器,"impedance control, low-frequency optimizer, high-level interface",MO_Kp/MO_Kd/阻抗参数,EMG reduction/activity,"足底压力/力传感, EMG, 治疗师/语义输入",未从摘要确认,EMG reduction/activity,not semantic / not reported,"control/impedance parameters, trajectory or gait features, mode switching / intent",yes/likely,MO_Kp / MO_Kd / MO_OverwriteKpGain,medium,secondary angle only,67,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 MO_Kp/MO_Kd；语义/治疗师输入可作为高层参数或模式选择接口，但优先级低于优化器和状态估计器；涉及本研究不使用的 EMG/IMU，仅作方法参考，不作为直接实现模板
Validation of Dynamic Bayesian Optimization for a Non-Stationary Human-in-the-Loop Optimization Problem,2025,,10.1101/2025.09.08.674907,abstract_only,参数优化器,low-frequency optimizer,tau/持续时间,待确认,"IMU, 膝力矩/交互力矩",healthy participants（数量待查 PDF）,待从 PDF/全文确认,not semantic / not reported,"control/impedance parameters, mode switching / intent",yes/likely,"Amplitude / assistive torque / SafeTorque, tau",not applicable,not semantic route,67,最贴近低频优化 DMP/阻抗参数的接入方式；涉及本研究不使用的 EMG/IMU，仅作方法参考，不作为直接实现模板
Adaptive Control of Exoskeleton Robots for Periodic Assistive Behaviours Based on EMG Feedback Minimisation,2016,PLoS ONE,10.1371/journal.pone.0148942,open_access_pdf,轨迹生成器/学习器,"impedance control, DMP","助力时机/phase_offset, 助力强度/Amplitude/torque profile, MO_Kp/MO_Kd/阻抗参数, tau/持续时间",EMG reduction/activity,"膝力矩/交互力矩, EMG",未从摘要确认,EMG reduction/activity,not semantic / not reported,"control/impedance parameters, trajectory or gait features, mode switching / intent",yes/likely,"Amplitude / assistive torque / SafeTorque, phase_offset / Phi / Phase0Event, tau, MO_Kp / MO_Kd / MO_OverwriteKpGain",not applicable,not semantic route,65,可映射到 MO_Kp/MO_Kd；可映射到 AO/Phi/Phase0Event 与 phase_offset；可映射到 DMP Amplitude 和 SafeTorque 约束；涉及本研究不使用的 EMG/IMU，仅作方法参考，不作为直接实现模板
Exoskeleton robot control for synchronous walking assistance in repetitive manual handling works based on dual unscented Kalman filter,2018,PLoS ONE,10.1371/journal.pone.0200193,open_access_pdf,轨迹生成器/学习器,"impedance control, DMP","助力强度/Amplitude/torque profile, MO_Kp/MO_Kd/阻抗参数, tau/持续时间",EMG reduction/activity,"足底压力/力传感, 膝速度, EMG",未从摘要确认,EMG reduction/activity,not semantic / not reported,"trajectory or gait features, mode switching / intent",yes/likely,"Amplitude / assistive torque / SafeTorque, tau, MO_Kp / MO_Kd / MO_OverwriteKpGain",not applicable,not semantic route,65,可映射到 MO_Kp/MO_Kd；可映射到 DMP Amplitude 和 SafeTorque 约束；涉及本研究不使用的 EMG/IMU，仅作方法参考，不作为直接实现模板
Human-Robot Variable Impedance Skill Transfer Learning Based on Dynamic Movement Primitives and Vision System,2025,,10.20944/preprints202507.0153.v1,abstract_only,轨迹生成器/学习器,"impedance control, DMP",MO_Kp/MO_Kd/阻抗参数,"EMG reduction/activity, stability, safety constraint",EMG,未从摘要确认,"EMG reduction/activity, stability, safety constraint",not semantic / not reported,"control/impedance parameters, mode switching / intent",yes/likely,"MO_Kp / MO_Kd / MO_OverwriteKpGain, SafeTorque / safety constraints",not applicable,not semantic route,65,可映射到 MO_Kp/MO_Kd；涉及本研究不使用的 EMG/IMU，仅作方法参考，不作为直接实现模板
A Framework for Composite Layup Skill Learning and Generalizing Through Teleoperation,2022,Frontiers in Neurorobotics,10.3389/fnbot.2022.840240,open_access_pdf,参数优化器,"impedance control, DMP, low-frequency optimizer",MO_Kp/MO_Kd/阻抗参数,待确认,待确认,未从摘要确认,待从 PDF/全文确认,not semantic / not reported,mode switching / intent,not confirmed,MO_Kp / MO_Kd / MO_OverwriteKpGain,not applicable,not semantic route,64,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 MO_Kp/MO_Kd
Human-In-The-Loop Optimization Of Knee Exoskeleton Assistance For Minimizing User’s Metabolic And Muscular Effort,2024,Preprints.org,10.20944/preprints202403.1732.v1,abstract_only,参数优化器,"PD/torque control, low-frequency optimizer, high-level interface",助力强度/Amplitude/torque profile,"metabolic cost, interaction torque/force","膝力矩/交互力矩, 治疗师/语义输入",未从摘要确认,"metabolic cost, interaction torque/force",therapist instruction / clinical goal,"control/impedance parameters, mode switching / intent",not confirmed,Amplitude / assistive torque / SafeTorque,medium,future extension,64,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 DMP Amplitude 和 SafeTorque 约束；语义/治疗师输入可作为高层参数或模式选择接口，但优先级低于优化器和状态估计器
The Effects of Incline Level on Optimized Lower-Limb Exoskeleton Assistance,2021,,10.1101/2021.09.13.460170,abstract_only,参数优化器,"low-frequency optimizer, high-level interface",助力强度/Amplitude/torque profile,"metabolic cost, comfort score","膝力矩/交互力矩, 治疗师/语义输入",未从摘要确认,"metabolic cost, comfort score",not semantic / not reported,not reported,not confirmed,Amplitude / assistive torque / SafeTorque,medium,future extension,64,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 DMP Amplitude 和 SafeTorque 约束；语义/治疗师输入可作为高层参数或模式选择接口，但优先级低于优化器和状态估计器
"Improving CMA-ES Convergence Speed, Efficiency, and Reliability in Noisy Robot Optimization Problems",2026,ArXiv.org,,open_access_pdf,参数优化器,low-frequency optimizer,"助力强度/Amplitude/torque profile, tau/持续时间",待确认,IMU,未从摘要确认,待从 PDF/全文确认,not semantic / not reported,control/impedance parameters,yes/likely,"Amplitude / assistive torque / SafeTorque, tau",not applicable,not semantic route,63,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 DMP Amplitude 和 SafeTorque 约束；涉及本研究不使用的 EMG/IMU，仅作方法参考，不作为直接实现模板
Simplifying rehabilitation control of lower-limb exoskeletons in five ambulation modes via dataset-driven state-machine calibration,2026,Journal of NeuroEngineering and Rehabilitation,10.1186/s12984-026-01917-8,open_access_pdf,参数优化器,"impedance control, low-frequency optimizer, high-level interface","助力时机/phase_offset, 助力强度/Amplitude/torque profile, MO_Kp/MO_Kd/阻抗参数, tau/持续时间",待确认,治疗师/语义输入,19 healthy,待从 PDF/全文确认,therapist instruction / clinical goal,"control/impedance parameters, trajectory or gait features, mode switching / intent",not confirmed,"Amplitude / assistive torque / SafeTorque, phase_offset / Phi / Phase0Event, tau, MO_Kp / MO_Kd / MO_OverwriteKpGain",medium,future extension,63,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 MO_Kp/MO_Kd；可映射到 AO/Phi/Phase0Event 与 phase_offset；可映射到 DMP Amplitude 和 SafeTorque 约束；语义/治疗师输入可作为高层参数或模式选择接口，但优先级低于优化器和状态估计器
Review of control strategies for lower-limb exoskeletons to assist gait,2021,Journal of NeuroEngineering and Rehabilitation,10.1186/s12984-021-00906-3,open_access_pdf,轨迹生成器/学习器,"impedance control, DMP, PD/torque control","助力强度/Amplitude/torque profile, MO_Kp/MO_Kd/阻抗参数, tau/持续时间",待确认,膝力矩/交互力矩,未从摘要确认,待从 PDF/全文确认,GUI/button/shared-control interface,"trajectory or gait features, mode switching / intent",not confirmed,"Amplitude / assistive torque / SafeTorque, tau, MO_Kp / MO_Kd / MO_OverwriteKpGain",not applicable,not semantic route,61,可映射到 MO_Kp/MO_Kd；可映射到 DMP Amplitude 和 SafeTorque 约束
Learning Physical Human–Robot Interaction With Coupled Cooperative Primitives for a Lower Exoskeleton,2019,IEEE Transactions on Automation Science and Engineering,10.1109/tase.2018.2886376,manual_pdf,轨迹生成器/学习器,"impedance control, DMP","助力强度/Amplitude/torque profile, MO_Kp/MO_Kd/阻抗参数",待确认,待确认,未从摘要确认,待从 PDF/全文确认,not semantic / not reported,"control/impedance parameters, trajectory or gait features, mode switching / intent",yes/likely,"Amplitude / assistive torque / SafeTorque, MO_Kp / MO_Kd / MO_OverwriteKpGain",not applicable,not semantic route,61,可映射到 MO_Kp/MO_Kd；可映射到 DMP Amplitude 和 SafeTorque 约束
Biologically Inspired Motion Modeling and Neural Control for Robot Learning From Demonstrations,2018,IEEE Transactions on Cognitive and Developmental Systems,10.1109/tcds.2018.2866477,open_access_pdf,轨迹生成器/学习器,"impedance control, DMP",MO_Kp/MO_Kd/阻抗参数,待确认,待确认,未从摘要确认,待从 PDF/全文确认,not semantic / not reported,mode switching / intent,yes/likely,MO_Kp / MO_Kd / MO_OverwriteKpGain,not applicable,not semantic route,61,可映射到 MO_Kp/MO_Kd
Optimizing Exoskeleton Assistance for Faster Self-Selected Walking,2021,IEEE Transactions on Neural Systems and Rehabilitation Engineering,10.1109/tnsre.2021.3074154,open_access_pdf,参数优化器,low-frequency optimizer,"助力强度/Amplitude/torque profile, tau/持续时间","metabolic cost, comfort score",膝力矩/交互力矩,healthy participants（数量待查 PDF）,"metabolic cost, comfort score",not semantic / not reported,trajectory or gait features,not confirmed,"Amplitude / assistive torque / SafeTorque, tau",not applicable,not semantic route,61,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 DMP Amplitude 和 SafeTorque 约束
Learning Cooperative Primitives with physical Human-Robot Interaction for a HUman-powered Lower EXoskeleton,2016,,10.1109/iros.2016.7759787,manual_pdf,轨迹生成器/学习器,"impedance control, DMP","助力强度/Amplitude/torque profile, MO_Kp/MO_Kd/阻抗参数",待确认,待确认,未从摘要确认,待从 PDF/全文确认,not semantic / not reported,"control/impedance parameters, trajectory or gait features, mode switching / intent",yes/likely,"Amplitude / assistive torque / SafeTorque, MO_Kp / MO_Kd / MO_OverwriteKpGain",not applicable,not semantic route,61,可映射到 MO_Kp/MO_Kd；可映射到 DMP Amplitude 和 SafeTorque 约束
Exoskeleton Active Walking Assistance Control Framework Based on Frequency Adaptive Dynamics Movement Primitives,2021,Frontiers in Neurorobotics,10.3389/fnbot.2021.672582,open_access_pdf,轨迹生成器/学习器,"impedance control, DMP","助力时机/phase_offset, 助力强度/Amplitude/torque profile, MO_Kp/MO_Kd/阻抗参数, tau/持续时间",待确认,"IMU, 膝力矩/交互力矩",未从摘要确认,待从 PDF/全文确认,not semantic / not reported,"trajectory or gait features, mode switching / intent",yes/likely,"Amplitude / assistive torque / SafeTorque, phase_offset / Phi / Phase0Event, tau, MO_Kp / MO_Kd / MO_OverwriteKpGain",not applicable,not semantic route,61,可映射到 MO_Kp/MO_Kd；可映射到 AO/Phi/Phase0Event 与 phase_offset；可映射到 DMP Amplitude 和 SafeTorque 约束；涉及本研究不使用的 EMG/IMU，仅作方法参考，不作为直接实现模板
"Current developments of robotic hip exoskeleton toward sensing, decision, and actuation: A review",2022,Wearable Technologies,10.1017/wtc.2022.11,open_access_pdf,参数优化器,"impedance control, low-frequency optimizer","助力时机/phase_offset, MO_Kp/MO_Kd/阻抗参数",待确认,"足底压力/力传感, 膝力矩/交互力矩",healthy participants（数量待查 PDF）,待从 PDF/全文确认,not semantic / not reported,"trajectory or gait features, mode switching / intent",not confirmed,"Amplitude / assistive torque / SafeTorque, phase_offset / Phi / Phase0Event, MO_Kp / MO_Kd / MO_OverwriteKpGain",not applicable,not semantic route,60,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 MO_Kp/MO_Kd；可映射到 AO/Phi/Phase0Event 与 phase_offset
Adaptive CPG-Based Impedance Control for Assistive Lower Limb Exoskeleton,2018,2018 IEEE International Conference on Robotics and Biomimetics (ROBIO),10.1109/robio.2018.8664912,manual_pdf,参数优化器,"impedance control, low-frequency optimizer",MO_Kp/MO_Kd/阻抗参数,待确认,待确认,未从摘要确认,待从 PDF/全文确认,not semantic / not reported,not reported,not confirmed,MO_Kp / MO_Kd / MO_OverwriteKpGain,not applicable,not semantic route,59,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 MO_Kp/MO_Kd
A Bio-Signal Enhanced Adaptive Impedance Controller for Lower Limb Exoskeleton,2020,2020 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra40945.2020.9196774,manual_pdf,参数优化器,"impedance control, low-frequency optimizer",MO_Kp/MO_Kd/阻抗参数,待确认,待确认,未从摘要确认,待从 PDF/全文确认,not semantic / not reported,not reported,not confirmed,MO_Kp / MO_Kd / MO_OverwriteKpGain,not applicable,not semantic route,59,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 MO_Kp/MO_Kd
Optimizing lower limb rehabilitation: the intersection of machine learning and rehabilitative robotics,2024,Frontiers in Rehabilitation Sciences,10.3389/fresc.2024.1246773,open_access_pdf,参数优化器,"impedance control, low-frequency optimizer",MO_Kp/MO_Kd/阻抗参数,safety constraint,待确认,stroke participants/patients（数量待查 PDF）,safety constraint,therapist instruction / clinical goal,mode switching / intent,not confirmed,"MO_Kp / MO_Kd / MO_OverwriteKpGain, SafeTorque / safety constraints",not applicable,not semantic route,58,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 MO_Kp/MO_Kd
Foot contact forces can be used to personalize a wearable robot during human walking,2022,Scientific Reports,10.1038/s41598-022-14776-9,open_access_pdf,参数优化器,low-frequency optimizer,MO_Kp/MO_Kd/阻抗参数,"metabolic cost, gait symmetry","IMU, 足底压力/力传感",8 individuals,"metabolic cost, gait symmetry",not semantic / not reported,control/impedance parameters,yes/likely,MO_Kp / MO_Kd / MO_OverwriteKpGain,not applicable,not semantic route,58,最贴近低频优化 DMP/阻抗参数的接入方式；涉及本研究不使用的 EMG/IMU，仅作方法参考，不作为直接实现模板
ANFIS to estimate damping coefficient from EMG to optimize the interaction force,2016,,10.1109/microcom.2016.7522589,open_access_pdf,控制器/阻抗自适应,"impedance control, high-level interface","助力强度/Amplitude/torque profile, MO_Kp/MO_Kd/阻抗参数","EMG reduction/activity, interaction torque/force","膝角度, 膝力矩/交互力矩, EMG, 治疗师/语义输入",未从摘要确认,"EMG reduction/activity, interaction torque/force",GUI/button/shared-control interface,"control/impedance parameters, mode switching / intent",not confirmed,"Amplitude / assistive torque / SafeTorque, MO_Kp / MO_Kd / MO_OverwriteKpGain",medium,future extension,58,可映射到 MO_Kp/MO_Kd；可映射到 DMP Amplitude 和 SafeTorque 约束；语义/治疗师输入可作为高层参数或模式选择接口，但优先级低于优化器和状态估计器；涉及本研究不使用的 EMG/IMU，仅作方法参考，不作为直接实现模板
Human-In-The-Loop Optimization of A Wearable Robot Using Foot Pressure Sensors,2021,Research Square,10.21203/rs.3.rs-1186504/v1,open_access_pdf,参数优化器,low-frequency optimizer,"助力时机/phase_offset, 助力强度/Amplitude/torque profile, MO_Kp/MO_Kd/阻抗参数","metabolic cost, gait symmetry, comfort score","IMU, 足底压力/力传感",8 individuals,"metabolic cost, gait symmetry, comfort score",not semantic / not reported,"control/impedance parameters, trajectory or gait features",yes/likely,"Amplitude / assistive torque / SafeTorque, phase_offset / Phi / Phase0Event, MO_Kp / MO_Kd / MO_OverwriteKpGain",not applicable,not semantic route,58,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 AO/Phi/Phase0Event 与 phase_offset；可映射到 DMP Amplitude 和 SafeTorque 约束；涉及本研究不使用的 EMG/IMU，仅作方法参考，不作为直接实现模板
The exoskeleton expansion: improving walking and running economy,2020,Journal of NeuroEngineering and Rehabilitation,10.1186/s12984-020-00663-9,open_access_pdf,参数优化器,"impedance control, low-frequency optimizer",MO_Kp/MO_Kd/阻抗参数,metabolic cost,待确认,未从摘要确认,metabolic cost,GUI/button/shared-control interface,not reported,not confirmed,MO_Kp / MO_Kd / MO_OverwriteKpGain,not applicable,not semantic route,57,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 MO_Kp/MO_Kd
DMP-Based Motion Generation for a Walking Exoskeleton Robot Using Reinforcement Learning,2019,IEEE Transactions on Industrial Electronics,10.1109/tie.2019.2916396,manual_pdf,轨迹生成器/学习器,DMP,"助力时机/phase_offset, 助力强度/Amplitude/torque profile",待确认,待确认,未从摘要确认,待从 PDF/全文确认,not semantic / not reported,"control/impedance parameters, trajectory or gait features, mode switching / intent",yes/likely,"Amplitude / assistive torque / SafeTorque, phase_offset / Phi / Phase0Event",not applicable,not semantic route,57,可映射到 AO/Phi/Phase0Event 与 phase_offset；可映射到 DMP Amplitude 和 SafeTorque 约束
Human-in-the-Loop Optimization for Knee Exoskeleton Flexion Assistance,2025,IEEE Robotics and Automation Letters,10.1109/lra.2025.3526558,manual_pdf,参数优化器,low-frequency optimizer,助力强度/Amplitude/torque profile,"metabolic cost, EMG reduction/activity","膝力矩/交互力矩, EMG",未从摘要确认,"metabolic cost, EMG reduction/activity",not semantic / not reported,mode switching / intent,yes/likely,Amplitude / assistive torque / SafeTorque,not applicable,not semantic route,57,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 DMP Amplitude 和 SafeTorque 约束；涉及本研究不使用的 EMG/IMU，仅作方法参考，不作为直接实现模板
Gait-event-based synchronization and control of a compact portable knee—ankle—foot exoskeleton robot for gait rehabilitation,2018,"Wearable Exoskeleton Systems: Design, control and applications",10.1049/pbce108e_ch8,metadata_only,高层语义/治疗师输入接口,high-level interface,待确认,待确认,"足底压力/力传感, 治疗师/语义输入",未从摘要确认,待从 PDF/全文确认,natural language / LLM,"trajectory or gait features, mode switching / intent",not confirmed,no direct mapping confirmed,high,not suitable for 1-2 month main paper,57,语义方向缺少到控制参数的直接映射，只适合相关工作/未来展望
Modeling and Stiffness-Based Continuous Torque Control of Lightweight Quasi-Direct-Drive Knee Exoskeletons for Versatile Walking Assistance,2022,IEEE Transactions on Robotics,10.1109/tro.2022.3170287,open_access_pdf,参数优化器,"PD/torque control, low-frequency optimizer","助力时机/phase_offset, 助力强度/Amplitude/torque profile, MO_Kp/MO_Kd/阻抗参数, tau/持续时间",待确认,膝力矩/交互力矩,未从摘要确认,待从 PDF/全文确认,not semantic / not reported,"control/impedance parameters, trajectory or gait features, mode switching / intent",yes/likely,"Amplitude / assistive torque / SafeTorque, phase_offset / Phi / Phase0Event, tau, MO_Kp / MO_Kd / MO_OverwriteKpGain",not applicable,not semantic route,56,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 AO/Phi/Phase0Event 与 phase_offset；可映射到 DMP Amplitude 和 SafeTorque 约束
Hand gestures classification of sEMG signals based on BiLSTM-metaheuristic optimization and hybrid U-Net-MobileNetV2 encoder architecture,2024,Scientific Reports,10.1038/s41598-024-82676-1,open_access_pdf,参数优化器,"impedance control, low-frequency optimizer",MO_Kp/MO_Kd/阻抗参数,EMG reduction/activity,"膝角度, EMG",未从摘要确认,EMG reduction/activity,not semantic / not reported,mode switching / intent,yes/likely,MO_Kp / MO_Kd / MO_OverwriteKpGain,not applicable,not semantic route,56,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 MO_Kp/MO_Kd；涉及本研究不使用的 EMG/IMU，仅作方法参考，不作为直接实现模板
"A versatile knee exoskeleton mitigates quadriceps fatigue in lifting, lowering, and carrying tasks",2024,Science Robotics,10.1126/scirobotics.adr8282,manual_pdf,参数优化器,low-frequency optimizer,助力强度/Amplitude/torque profile,待确认,膝力矩/交互力矩,未从摘要确认,待从 PDF/全文确认,GUI/button/shared-control interface,"control/impedance parameters, mode switching / intent",not confirmed,Amplitude / assistive torque / SafeTorque,not applicable,not semantic route,55,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 DMP Amplitude 和 SafeTorque 约束
A Dynamic Movement Primitives-Based Tool Use Skill Learning and Transfer Framework for Robot Manipulation,2024,IEEE Transactions on Automation Science and Engineering,10.1109/tase.2024.3370139,open_access_pdf,轨迹生成器/学习器,"impedance control, DMP",MO_Kp/MO_Kd/阻抗参数,safety constraint,待确认,未从摘要确认,safety constraint,GUI/button/shared-control interface,mode switching / intent,yes/likely,"MO_Kp / MO_Kd / MO_OverwriteKpGain, SafeTorque / safety constraints",not applicable,not semantic route,54,可映射到 MO_Kp/MO_Kd
Dynamic Movement Primitives Modulation-Based Compliance Control for a New Sitting/Lying Lower Limb Rehabilitation Robot,2024,IEEE Access,10.1109/access.2024.3376391,open_access_pdf,轨迹生成器/学习器,"impedance control, DMP",MO_Kp/MO_Kd/阻抗参数,待确认,"IMU, 膝速度",未从摘要确认,待从 PDF/全文确认,not semantic / not reported,trajectory or gait features,yes/likely,MO_Kp / MO_Kd / MO_OverwriteKpGain,not applicable,not semantic route,54,可映射到 MO_Kp/MO_Kd；涉及本研究不使用的 EMG/IMU，仅作方法参考，不作为直接实现模板
Powered knee exoskeleton improves sit-to-stand transitions in stroke patients using electromyographic control,2025,Communications Engineering,10.1038/s44172-025-00440-3,open_access_pdf,参数优化器,low-frequency optimizer,待确认,gait symmetry,膝力矩/交互力矩,stroke participants/patients（数量待查 PDF）,gait symmetry,not semantic / not reported,not reported,not confirmed,Amplitude / assistive torque / SafeTorque,not applicable,not semantic route,54,最贴近低频优化 DMP/阻抗参数的接入方式
A Novel Balance Control Strategy Based on Enhanced Stability Pyramid Index and Dynamic Movement Primitives for a Lower Limb Human-Exoskeleton System,2021,Frontiers in Neurorobotics,10.3389/fnbot.2021.751642,open_access_pdf,轨迹生成器/学习器,"impedance control, DMP",MO_Kp/MO_Kd/阻抗参数,"stability, safety constraint",IMU,未从摘要确认,"stability, safety constraint",not semantic / not reported,trajectory or gait features,yes/likely,"MO_Kp / MO_Kd / MO_OverwriteKpGain, SafeTorque / safety constraints",not applicable,not semantic route,54,可映射到 MO_Kp/MO_Kd；涉及本研究不使用的 EMG/IMU，仅作方法参考，不作为直接实现模板
Optimized hip-knee-ankle exoskeleton assistance reduces the metabolic cost of walking with worn loads,2021,Journal of NeuroEngineering and Rehabilitation,10.1186/s12984-021-00955-8,open_access_pdf,参数优化器,low-frequency optimizer,"助力时机/phase_offset, 助力强度/Amplitude/torque profile",metabolic cost,"足底压力/力传感, 膝力矩/交互力矩",未从摘要确认,metabolic cost,not semantic / not reported,control/impedance parameters,not confirmed,"Amplitude / assistive torque / SafeTorque, phase_offset / Phi / Phase0Event",not applicable,not semantic route,53,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 AO/Phi/Phase0Event 与 phase_offset；可映射到 DMP Amplitude 和 SafeTorque 约束
Lower limb biomechanics of fully trained exoskeleton users reveal complex mechanisms behind the reductions in energy cost with human-in-the-loop optimization,2024,Frontiers in Robotics and AI,10.3389/frobt.2024.1283080,open_access_pdf,参数优化器,low-frequency optimizer,助力强度/Amplitude/torque profile,metabolic cost,膝力矩/交互力矩,未从摘要确认,metabolic cost,not semantic / not reported,not reported,not confirmed,Amplitude / assistive torque / SafeTorque,not applicable,not semantic route,53,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 DMP Amplitude 和 SafeTorque 约束
Passive Knee Exoskeleton Increases Vertical Jump Height,2022,IEEE Transactions on Neural Systems and Rehabilitation Engineering,10.1109/tnsre.2022.3187056,manual_pdf,参数优化器,low-frequency optimizer,助力时机/phase_offset,metabolic cost,待确认,healthy participants（数量待查 PDF）,metabolic cost,not semantic / not reported,mode switching / intent,yes/likely,phase_offset / Phi / Phase0Event,not applicable,not semantic route,53,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 AO/Phi/Phase0Event 与 phase_offset
A review of current state-of-the-art control methods for lower-limb powered prostheses,2023,Annual Reviews in Control,10.1016/j.arcontrol.2023.03.003,manual_pdf,参数优化器,"impedance control, low-frequency optimizer",MO_Kp/MO_Kd/阻抗参数,待确认,待确认,未从摘要确认,待从 PDF/全文确认,not semantic / not reported,not reported,not confirmed,MO_Kp / MO_Kd / MO_OverwriteKpGain,not applicable,not semantic route,52,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 MO_Kp/MO_Kd
SMAT: Staged Multi-Agent Training for Co-Adaptive Exoskeleton Control,2026,arXiv,10.48550/arXiv.2603.07618,open_access_pdf,轨迹生成器/学习器,待确认,"助力时机/phase_offset, 助力强度/Amplitude/torque profile",stability,"IMU, 膝力矩/交互力矩",未从摘要确认,stability,not semantic / not reported,"trajectory or gait features, mode switching / intent",yes/likely,"Amplitude / assistive torque / SafeTorque, phase_offset / Phi / Phase0Event",not applicable,not semantic route,48,可映射到 AO/Phi/Phase0Event 与 phase_offset；可映射到 DMP Amplitude 和 SafeTorque 约束；涉及本研究不使用的 EMG/IMU，仅作方法参考，不作为直接实现模板
Virtual Technician: A multi-modal interface facilitating therapists' adoption of rehab robots,2026,,10.18416/AUTOMED.2026.2512,open_access_pdf,高层语义/治疗师输入接口,high-level interface,待确认,safety constraint,治疗师/语义输入,未从摘要确认,safety constraint,natural language / LLM,mode switching / intent,not confirmed,SafeTorque / safety constraints,medium,future extension,5,语义/治疗师输入可作为高层参数或模式选择接口，但优先级低于优化器和状态估计器
LLM-Enabled Incremental Learning Framework for Hand Exoskeleton Control,2025,,10.1109/TASE.2024.3382679,manual_pdf,高层语义/治疗师输入接口,high-level interface,待确认,safety constraint,治疗师/语义输入,未从摘要确认,safety constraint,natural language / LLM,mode switching / intent,not confirmed,SafeTorque / safety constraints,medium,future extension,15,语义/治疗师输入可作为高层参数或模式选择接口，但优先级低于优化器和状态估计器
A Semantic-Aware Framework for Safe and Intent-Integrative Assistance in Upper-Limb Exoskeletons,2025,arXiv,10.48550/arXiv.2508.10378,open_access_pdf,高层语义/治疗师输入接口,high-level interface,助力强度/Amplitude/torque profile,safety constraint,治疗师/语义输入,未从摘要确认,safety constraint,natural language / LLM,mode switching / intent,not confirmed,"Amplitude / assistive torque / SafeTorque, SafeTorque / safety constraints",medium,future extension,22,可映射到 DMP Amplitude 和 SafeTorque 约束；语义/治疗师输入可作为高层参数或模式选择接口，但优先级低于优化器和状态估计器
"Do As I Can, Not As I Say: Grounding Language in Robotic Affordances",2023,arXiv,10.48550/arXiv.2204.01691,open_access_pdf,高层语义/治疗师输入接口,high-level interface,待确认,safety constraint,治疗师/语义输入,未从摘要确认,safety constraint,natural language / LLM,mode switching / intent,not confirmed,SafeTorque / safety constraints,medium,future extension,5,语义/治疗师输入可作为高层参数或模式选择接口，但优先级低于优化器和状态估计器
Code as Policies: Language Model Programs for Embodied Control,2023,,10.1109/ICRA48891.2023.10160591,open_access_pdf,高层语义/治疗师输入接口,high-level interface,待确认,safety constraint,治疗师/语义输入,未从摘要确认,safety constraint,natural language / LLM,mode switching / intent,not confirmed,SafeTorque / safety constraints,medium,future extension,5,语义/治疗师输入可作为高层参数或模式选择接口，但优先级低于优化器和状态估计器
ProgPrompt: Generating Situated Robot Task Plans using Large Language Models,2023,,10.1109/ICRA48891.2023.10161317,open_access_pdf,高层语义/治疗师输入接口,high-level interface,待确认,safety constraint,治疗师/语义输入,未从摘要确认,safety constraint,natural language / LLM,mode switching / intent,not confirmed,SafeTorque / safety constraints,medium,future extension,5,语义/治疗师输入可作为高层参数或模式选择接口，但优先级低于优化器和状态估计器
Inner Monologue: Embodied Reasoning through Planning with Language Models,2023,arXiv,10.48550/arXiv.2207.05608,open_access_pdf,高层语义/治疗师输入接口,high-level interface,待确认,safety constraint,治疗师/语义输入,未从摘要确认,safety constraint,natural language / LLM,mode switching / intent,not confirmed,SafeTorque / safety constraints,medium,future extension,5,语义/治疗师输入可作为高层参数或模式选择接口，但优先级低于优化器和状态估计器
RT-2: Vision-Language-Action Models Transfer Web Knowledge to Robotic Control,2023,arXiv,10.48550/arXiv.2307.15818,open_access_pdf,高层语义/治疗师输入接口,high-level interface,待确认,safety constraint,治疗师/语义输入,未从摘要确认,safety constraint,natural language / LLM,mode switching / intent,not confirmed,SafeTorque / safety constraints,medium,future extension,5,语义/治疗师输入可作为高层参数或模式选择接口，但优先级低于优化器和状态估计器
